NOC,Year,Ath_Cnt
BRA,1936,94
POL,1936,177
ITA,1976,69
ITA,1988,105
ITA,1994,193
ITA,1998,179
ESP,1960,238
ARG,1928,98
SWE,1996,233
HUN,1960,312
FRA,1908,319
AUT,1952,238
CAN,1992,503
CAN,1988,503
JAM,2008,66
JAM,2012,62
ITA,1960,58
ITA,1906,103
NED,1952,180
DEN,1994,9
DEN,2010,23
USA,1998,284
USA,2002,313
PER,1960,33
MDA,2016,23
CAN,2002,215
SUI,1960,221
AUT,2002,148
BUL,2010,41
SUI,1952,251
GDR,1980,87
SWE,1972,186
YUG,1976,95
ROU,1928,33
USA,1952,96
USA,1956,14
POR,1960,109
BAH,1952,7
BAH,1956,5
BAH,1960,14
BAH,1968,22
PER,1936,46
URU,1976,15
ITA,1924,291
MRI,2016,11
GBR,2006,54
GUA,1968,67
CUB,1968,227
GUA,2012,24
POR,1964,25
POR,1972,41
ROU,1952,25
ROU,1956,35
JAM,1980,32
CAN,1964,75
YUG,1972,212
YUG,1980,180
ROU,2000,252
CHI,1912,28
PUR,2012,28
DOM,1988,18
DOM,1996,16
LTU,1996,81
LTU,2008,78
BUL,2012,75
URS,1976,121
BUL,2016,58
BUL,1992,281
KGZ,1996,53
URS,1952,451
BUL,2004,119
BUL,2008,87
KAZ,2006,97
URS,1960,91
URS,1984,143
ARM,2012,31
LAT,2012,50
BLR,1998,107
URS,1988,152
ISR,1996,38
BLR,2000,231
SRB,2012,134
SRB,2016,127
BUL,1988,52
BUL,1992,72
BLR,2012,185
ESP,1928,106
ETH,1980,48
ETH,1964,19
ETH,1968,26
BRA,1968,89
PUR,1972,60
ITA,1960,402
BRA,1948,105
MON,2014,11
GER,1932,51
GRE,1988,72
TCH,1968,203
TCH,1972,274
GRE,1980,45
GRE,1984,73
IVB,2012,2
VIN,2008,2
VIN,2016,4
TTO,2000,29
TTO,2004,26
CAN,2004,391
ISL,1996,15
ISL,2000,29
ISL,2004,34
AUT,2016,85
GRE,1972,6
ARM,2002,17
ROU,1980,339
ROU,1968,100
GRE,1968,44
MOZ,1980,16
NIG,2016,6
COL,1976,44
COL,1980,28
CRC,2016,12
CHI,1928,46
ESA,2012,11
NED,1960,160
LUX,1928,107
SWE,2006,168
SWE,2010,172
SWE,2014,148
ISL,1976,30
BER,1988,14
BRA,1956,6
BRA,1960,86
SWE,1994,151
NCA,1980,6
NIG,2008,4
SUD,2016,6
CAF,2004,4
LBA,2008,6
MAD,2012,7
MAD,2016,6
CMR,2008,32
NIG,2000,4
PAK,2016,7
AUS,1980,274
MAL,1960,11
MAL,1956,34
MDV,2004,4
IND,1976,26
DJI,2012,4
DJI,1996,5
IRI,1960,24
DJI,2008,2
ALG,1972,7
CHA,2016,2
DJI,2000,2
BIH,2008,7
BIH,2016,11
GUM,2008,7
MDA,1996,50
INA,1972,7
URS,1980,129
CRO,2008,125
CRO,2012,118
PHI,1964,70
SAM,1988,11
SAM,1992,5
USA,1988,197
HUN,1968,319
PHI,2012,11
PHI,2016,13
PAK,1976,24
FRA,1936,34
CAY,2016,5
AUS,2006,45
GBR,1998,45
SVK,2000,132
BEL,1952,184
NIG,1984,4
GBR,1952,401
GBR,1956,35
FRA,1936,303
SUI,2004,138
SYR,2016,7
GUY,2000,4
AUS,1984,20
USA,1960,428
USA,1968,529
AUT,2004,92
CAN,1992,186
AUS,1960,280
JAM,2016,77
JAM,2000,65
JAM,2004,62
IND,1932,26
IND,1936,30
CAN,1972,85
IRL,1996,99
SUI,1948,99
DEN,1912,233
CAN,1976,109
BAR,2000,28
BAR,2004,15
BAR,1992,22
TTO,1996,16
TAN,1980,48
EST,2016,49
SEY,2012,6
SEY,2016,10
ITA,1920,291
BEL,1964,150
CIV,2004,5
GUM,1992,45
JAM,1972,51
JAM,1976,36
BAR,2008,10
BAR,2012,8
ECU,2012,36
ECU,2016,40
MEX,1952,85
URU,1964,29
PHI,1976,22
PHI,1992,38
HUN,1980,288
ARM,1994,2
HUN,1964,42
HUN,1968,21
HUN,1972,1
GBS,1996,3
ANG,2004,30
POR,2004,93
ANG,2012,35
NOR,1988,97
CAN,1904,61
CHI,2008,29
AUS,2010,49
AUS,2014,84
ISR,1972,17
FIN,1952,73
FIN,1948,45
FIN,1956,13
CUB,1924,13
ESP,1924,151
GUA,1984,53
RUS,2014,353
TUN,1984,28
